"id","submitdate","lastpage","startlanguage","seed","P1","P2","E1","E2","E3","F1","F2"
"1","1980-01-01 00:00:00","1","en","369548915","A2","A1","1","A3","A4","constraints did not work for integers: could not find a select where zone_id = 2001. had to convert it to decimal and use a decimal constraint","integer constraints"
"2","1980-01-01 00:00:00","1","de","654913144","A1","A1","1","A2","A4","- pandas erlaubt nur ein zip archiv mit einem file","- pandas argument, mit dem der Name der Datei innerhalb des zip archivs ausgewählt werden kann"
"3","1980-01-01 00:00:00","1","de","1378446651","A2","A1","2","A3","A3","Keine Jayvee funktioniert gut, wenn man etwas Erfahrung hat.",""
"4","1980-01-01 00:00:00","1","de","1198823711","A1","A1","1","A3","A4","None",""
"5","1980-01-01 00:00:00","1","en","1954247498","A1","A1","2.2","A4","A5","",""
"6","1980-01-01 00:00:00","1","de","1322675717","A2","A1","0.5","A2","A4","",""
"7","1980-01-01 00:00:00","1","en","1050106879","A1","A1","1","A4","A4","It got easier as we progressed from Exercise 1 to 5. Initially it required more time to solve the exercises",""
"8","1980-01-01 00:00:00","1","en","275844651","A1","A1","1","A3","A4","",""
"9","1980-01-01 00:00:00","1","en","568672975","A2","A1","2.5","A4","A3","None","None"
"11","1980-01-01 00:00:00","1","en","1720389573","A1","A1","2","A4","A4","",""
"13","1980-01-01 00:00:00","1","en","818036048","A2","A1","2","A3","A3","","Would have preferred to have the AllowlistContraint also for integer (and decimal) values, for constraining that the Zone_id is 2001.
Because e.g., if you want to interpret your Zone_id as an integer and want to only have stops from the zones 2001 and 4001 (and not from 3001), I see there at the moment no way to do this, at least not by just using constraints and Primitive value types."
"14","1980-01-01 00:00:00","1","de","1181928597","A1","A1","1","A4","A3","",""
"15","1980-01-01 00:00:00","1","de","1517606917","A1","A1","0.5","A3","A4","",""
"16","1980-01-01 00:00:00","1","de","352296761","A1","A1","3","A4","A3","Ich hatte Probleme das Zip zu entpacken. Erst nachdem ich eine andere Bibliothek benutzt habe war es mir möglich das Zip zu extrahieren.","Evtl. ""urlopen"" das nächste mal als Beispiel angeben, da ""urlretrieve"" mittlerweile als ""deprecated"" markiert ist."
"17","1980-01-01 00:00:00","1","en","1694958875","A2","A1","4","A3","A4","",""
"19","1980-01-01 00:00:00","1","en","1646772838","A2","A1","2","A4","A3","",""
"20","1980-01-01 00:00:00","1","en","154390075","A1","A1","30","A4","A4","Some difficulties arose in solving the exercises using Jayvee due to the lack of documentation.","Python, Jayvee, pandas,sql"
"21","1980-01-01 00:00:00","1","en","1104498375","A2","A1","5","A5","A3","",""
"23","1980-01-01 00:00:00","1","en","371467988","A1","A1","0.5","A3","A3","Choosing the correct library for the job",""
"24","1980-01-01 00:00:00","1","en","783356511","A2","A1","1","A3","A4","None","Already good for this exercise"
"25","1980-01-01 00:00:00","1","en","1645388184","A2","A1","2","A4","A3","",""
"26","1980-01-01 00:00:00","1","en","959402820","A2","A1","4","A5","A4","",""

